RANGKUMAN METRIK RES1024 - HYBRID vs LSB
========================================================================================================================
Tanggal        : 2026-04-06 09:53:46
Hybrid files   : 40
LSB files      : 40
Total net union: 40

Format kolom:
net | H:[TP TN FP FN | Acc Pre Rec] | L:[TP TN FP FN | Acc Pre Rec]
------------------------------------------------------------------------------------------------------------------------
net_1   | H:[35 35  5  5 |  87.50%  87.50%  87.50%]        | L:[39 35  5  1 |  92.50%  88.64%  97.50%]
net_2   | H:[36 35  5  4 |  88.75%  87.80%  90.00%]        | L:[39 35  5  1 |  92.50%  88.64%  97.50%]
net_3   | H:[24 39  1 16 |  78.75%  96.00%  60.00%]        | L:[35 39  1  5 |  92.50%  97.22%  87.50%]
net_4   | H:[34 39  1  6 |  91.25%  97.14%  85.00%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_5   | H:[40 35  5  0 |  93.75%  88.89% 100.00%]        | L:[40 35  5  0 |  93.75%  88.89% 100.00%]
net_6   | H:[39 36  4  1 |  93.75%  90.70%  97.50%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_7   | H:[40 36  4  0 |  95.00%  90.91% 100.00%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_8   | H:[40 36  4  0 |  95.00%  90.91% 100.00%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_9   | H:[39 38  2  1 |  96.25%  95.12%  97.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_10  | H:[38 38  2  2 |  95.00%  95.00%  95.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_11  | H:[29 39  1 11 |  85.00%  96.67%  72.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_12  | H:[40 29 11  0 |  86.25%  78.43% 100.00%]        | L:[40 29 11  0 |  86.25%  78.43% 100.00%]
net_13  | H:[40 38  2  0 |  97.50%  95.24% 100.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_14  | H:[39 38  2  1 |  96.25%  95.12%  97.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_15  | H:[36 38  2  4 |  92.50%  94.74%  90.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_16  | H:[39 39  1  1 |  97.50%  97.50%  97.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_17  | H:[40 35  5  0 |  93.75%  88.89% 100.00%]        | L:[40 35  5  0 |  93.75%  88.89% 100.00%]
net_18  | H:[40 38  2  0 |  97.50%  95.24% 100.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_19  | H:[40 38  2  0 |  97.50%  95.24% 100.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_20  | H:[39 38  2  1 |  96.25%  95.12%  97.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_21  | H:[37 38  2  3 |  93.75%  94.87%  92.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_22  | H:[40 36  4  0 |  95.00%  90.91% 100.00%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_23  | H:[35 39  1  5 |  92.50%  97.22%  87.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_24  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_25  | H:[40 38  2  0 |  97.50%  95.24% 100.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_26  | H:[39 39  1  1 |  97.50%  97.50%  97.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_27  | H:[33 40  0  7 |  91.25% 100.00%  82.50%]        | L:[40 40  0  0 | 100.00% 100.00% 100.00%]
net_28  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_29  | H:[39 39  1  1 |  97.50%  97.50%  97.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_30  | H:[34 39  1  6 |  91.25%  97.14%  85.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_31  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_32  | H:[40 39  1  0 |  98.75%  97.56% 100.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_33  | H:[38 39  1  2 |  96.25%  97.44%  95.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_34  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_35  | H:[39 39  1  1 |  97.50%  97.50%  97.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_36  | H:[38 39  1  2 |  96.25%  97.44%  95.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_37  | H:[39 39  1  1 |  97.50%  97.50%  97.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_38  | H:[38 40  0  2 |  97.50% 100.00%  95.00%]        | L:[40 40  0  0 | 100.00% 100.00% 100.00%]
net_39  | H:[39 39  1  1 |  97.50%  97.50%  97.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_40  | H:[34 40  0  6 |  92.50% 100.00%  85.00%]        | L:[40 40  0  0 | 100.00% 100.00% 100.00%]
