RANGKUMAN METRIK RES512 - HYBRID vs LSB
========================================================================================================================
Tanggal        : 2026-04-06 09:33:03
Hybrid files   : 40
LSB files      : 40
Total net union: 40

Format kolom:
net | H:[TP TN FP FN | Acc Pre Rec] | L:[TP TN FP FN | Acc Pre Rec]
------------------------------------------------------------------------------------------------------------------------
net_1   | H:[18 40  0 22 |  72.50% 100.00%  45.00%]        | L:[32 40  0  8 |  90.00% 100.00%  80.00%]
net_2   | H:[39 23 17  1 |  77.50%  69.64%  97.50%]        | L:[39 23 17  1 |  77.50%  69.64%  97.50%]
net_3   | H:[40 32  8  0 |  90.00%  83.33% 100.00%]        | L:[40 32  8  0 |  90.00%  83.33% 100.00%]
net_4   | H:[34 38  2  6 |  90.00%  94.44%  85.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_5   | H:[23 40  0 17 |  78.75% 100.00%  57.50%]        | L:[39 40  0  1 |  98.75% 100.00%  97.50%]
net_6   | H:[39 39  1  1 |  97.50%  97.50%  97.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_7   | H:[36 38  2  4 |  92.50%  94.74%  90.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_8   | H:[33 40  0  7 |  91.25% 100.00%  82.50%]        | L:[40 40  0  0 | 100.00% 100.00% 100.00%]
net_9   | H:[37 39  1  3 |  95.00%  97.37%  92.50%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_10  | H:[32 38  2  8 |  87.50%  94.12%  80.00%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_11  | H:[27 40  0 13 |  83.75% 100.00%  67.50%]        | L:[37 40  0  3 |  96.25% 100.00%  92.50%]
net_12  | H:[26 39  1 14 |  81.25%  96.30%  65.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_13  | H:[20 40  0 20 |  75.00% 100.00%  50.00%]        | L:[37 40  0  3 |  96.25% 100.00%  92.50%]
net_14  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_15  | H:[31 39  1  9 |  87.50%  96.88%  77.50%]        | L:[39 39  1  1 |  97.50%  97.50%  97.50%]
net_16  | H:[34 38  2  6 |  90.00%  94.44%  85.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_17  | H:[37 38  2  3 |  93.75%  94.87%  92.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_18  | H:[38 38  2  2 |  95.00%  95.00%  95.00%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_19  | H:[38 37  3  2 |  93.75%  92.68%  95.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_20  | H:[37 39  1  3 |  95.00%  97.37%  92.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_21  | H:[35 38  2  5 |  91.25%  94.59%  87.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_22  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_23  | H:[37 38  2  3 |  93.75%  94.87%  92.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_24  | H:[38 37  3  2 |  93.75%  92.68%  95.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_25  | H:[37 38  2  3 |  93.75%  94.87%  92.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_26  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[39 39  1  1 |  97.50%  97.50%  97.50%]
net_27  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_28  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_29  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_30  | H:[36 38  2  4 |  92.50%  94.74%  90.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_31  | H:[34 39  1  6 |  91.25%  97.14%  85.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_32  | H:[36 38  2  4 |  92.50%  94.74%  90.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_33  | H:[34 39  1  6 |  91.25%  97.14%  85.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_34  | H:[35 39  1  5 |  92.50%  97.22%  87.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_35  | H:[37 39  1  3 |  95.00%  97.37%  92.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_36  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_37  | H:[35 39  1  5 |  92.50%  97.22%  87.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_38  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_39  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_40  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
