RANGKUMAN METRIK RES512 - HYBRID vs LSB
========================================================================================================================
Tanggal        : 2026-04-07 14:41:06
Hybrid files   : 40
LSB files      : 40
Total net union: 40

Format kolom:
net | H:[TP TN FP FN | Acc Pre Rec] | L:[TP TN FP FN | Acc Pre Rec]
------------------------------------------------------------------------------------------------------------------------
net_1   | H:[ 3 39  1 37 |  52.50%  75.00%   7.50%]        | L:[26 39  1 14 |  81.25%  96.30%  65.00%]
net_2   | H:[38 15 25  2 |  66.25%  60.32%  95.00%]        | L:[39 15 25  1 |  67.50%  60.94%  97.50%]
net_3   | H:[40 17 23  0 |  71.25%  63.49% 100.00%]        | L:[40 17 23  0 |  71.25%  63.49% 100.00%]
net_4   | H:[33 31  9  7 |  80.00%  78.57%  82.50%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_5   | H:[18 38  2 22 |  70.00%  90.00%  45.00%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_6   | H:[37 30 10  3 |  83.75%  78.72%  92.50%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_7   | H:[32 31  9  8 |  78.75%  78.05%  80.00%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_8   | H:[25 37  3 15 |  77.50%  89.29%  62.50%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_9   | H:[34 30 10  6 |  80.00%  77.27%  85.00%]        | L:[38 30 10  2 |  85.00%  79.17%  95.00%]
net_10  | H:[28 30 10 12 |  72.50%  73.68%  70.00%]        | L:[39 30 10  1 |  86.25%  79.59%  97.50%]
net_11  | H:[19 37  3 21 |  70.00%  86.36%  47.50%]        | L:[36 37  3  4 |  91.25%  92.31%  90.00%]
net_12  | H:[19 35  5 21 |  67.50%  79.17%  47.50%]        | L:[40 35  5  0 |  93.75%  88.89% 100.00%]
net_13  | H:[15 37  3 25 |  65.00%  83.33%  37.50%]        | L:[37 37  3  3 |  92.50%  92.50%  92.50%]
net_14  | H:[33 30 10  7 |  78.75%  76.74%  82.50%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_15  | H:[29 33  7 11 |  77.50%  80.56%  72.50%]        | L:[40 33  7  0 |  91.25%  85.11% 100.00%]
net_16  | H:[32 29 11  8 |  76.25%  74.42%  80.00%]        | L:[40 29 11  0 |  86.25%  78.43% 100.00%]
net_17  | H:[36 30 10  4 |  82.50%  78.26%  90.00%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_18  | H:[35 29 11  5 |  80.00%  76.09%  87.50%]        | L:[40 29 11  0 |  86.25%  78.43% 100.00%]
net_19  | H:[36 28 12  4 |  80.00%  75.00%  90.00%]        | L:[40 28 12  0 |  85.00%  76.92% 100.00%]
net_20  | H:[35 30 10  5 |  81.25%  77.78%  87.50%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_21  | H:[35 29 11  5 |  80.00%  76.09%  87.50%]        | L:[40 29 11  0 |  86.25%  78.43% 100.00%]
net_22  | H:[32 31  9  8 |  78.75%  78.05%  80.00%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_23  | H:[36 29 11  4 |  81.25%  76.60%  90.00%]        | L:[40 29 11  0 |  86.25%  78.43% 100.00%]
net_24  | H:[36 28 12  4 |  80.00%  75.00%  90.00%]        | L:[40 28 12  0 |  85.00%  76.92% 100.00%]
net_25  | H:[36 29 11  4 |  81.25%  76.60%  90.00%]        | L:[40 29 11  0 |  86.25%  78.43% 100.00%]
net_26  | H:[28 32  8 12 |  75.00%  77.78%  70.00%]        | L:[40 32  8  0 |  90.00%  83.33% 100.00%]
net_27  | H:[32 32  8  8 |  80.00%  80.00%  80.00%]        | L:[40 32  8  0 |  90.00%  83.33% 100.00%]
net_28  | H:[31 32  8  9 |  78.75%  79.49%  77.50%]        | L:[40 32  8  0 |  90.00%  83.33% 100.00%]
net_29  | H:[35 31  9  5 |  82.50%  79.55%  87.50%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_30  | H:[35 31  9  5 |  82.50%  79.55%  87.50%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_31  | H:[32 32  8  8 |  80.00%  80.00%  80.00%]        | L:[40 32  8  0 |  90.00%  83.33% 100.00%]
net_32  | H:[35 31  9  5 |  82.50%  79.55%  87.50%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_33  | H:[34 31  9  6 |  81.25%  79.07%  85.00%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_34  | H:[34 31  9  6 |  81.25%  79.07%  85.00%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_35  | H:[35 30 10  5 |  81.25%  77.78%  87.50%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_36  | H:[34 31  9  6 |  81.25%  79.07%  85.00%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_37  | H:[33 30 10  7 |  78.75%  76.74%  82.50%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_38  | H:[34 30 10  6 |  80.00%  77.27%  85.00%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_39  | H:[35 31  9  5 |  82.50%  79.55%  87.50%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_40  | H:[31 32  8  9 |  78.75%  79.49%  77.50%]        | L:[40 32  8  0 |  90.00%  83.33% 100.00%]
