RANGKUMAN METRIK RES256 - HYBRID vs LSB
========================================================================================================================
Tanggal        : 2026-04-07 14:27:10
Hybrid files   : 40
LSB files      : 40
Total net union: 40

Format kolom:
net | H:[TP TN FP FN | Acc Pre Rec] | L:[TP TN FP FN | Acc Pre Rec]
------------------------------------------------------------------------------------------------------------------------
net_1   | H:[28 29 11 12 |  71.25%  71.79%  70.00%]        | L:[40 29 11  0 |  86.25%  78.43% 100.00%]
net_2   | H:[35 19 21  5 |  67.50%  62.50%  87.50%]        | L:[39 19 21  1 |  72.50%  65.00%  97.50%]
net_3   | H:[10 38  2 30 |  60.00%  83.33%  25.00%]        | L:[36 38  2  4 |  92.50%  94.74%  90.00%]
net_4   | H:[15 38  2 25 |  66.25%  88.24%  37.50%]        | L:[36 38  2  4 |  92.50%  94.74%  90.00%]
net_5   | H:[14 38  2 26 |  65.00%  87.50%  35.00%]        | L:[36 38  2  4 |  92.50%  94.74%  90.00%]
net_6   | H:[27 25 15 13 |  65.00%  64.29%  67.50%]        | L:[40 25 15  0 |  81.25%  72.73% 100.00%]
net_7   | H:[39 27 13  1 |  82.50%  75.00%  97.50%]        | L:[40 27 13  0 |  83.75%  75.47% 100.00%]
net_8   | H:[12 39  1 28 |  63.75%  92.31%  30.00%]        | L:[35 39  1  5 |  92.50%  97.22%  87.50%]
net_9   | H:[28 38  2 12 |  82.50%  93.33%  70.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_10  | H:[21 38  2 19 |  73.75%  91.30%  52.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_11  | H:[27 35  5 13 |  77.50%  84.38%  67.50%]        | L:[40 35  5  0 |  93.75%  88.89% 100.00%]
net_12  | H:[24 39  1 16 |  78.75%  96.00%  60.00%]        | L:[36 39  1  4 |  93.75%  97.30%  90.00%]
net_13  | H:[12 39  1 28 |  63.75%  92.31%  30.00%]        | L:[36 39  1  4 |  93.75%  97.30%  90.00%]
net_14  | H:[28 37  3 12 |  81.25%  90.32%  70.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_15  | H:[39 30 10  1 |  86.25%  79.59%  97.50%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_16  | H:[38 25 15  2 |  78.75%  71.70%  95.00%]        | L:[40 25 15  0 |  81.25%  72.73% 100.00%]
net_17  | H:[37  3 37  3 |  50.00%  50.00%  92.50%]        | L:[40  3 37  0 |  53.75%  51.95% 100.00%]
net_18  | H:[40 21 19  0 |  76.25%  67.80% 100.00%]        | L:[40 21 19  0 |  76.25%  67.80% 100.00%]
net_19  | H:[18 37  3 22 |  68.75%  85.71%  45.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_20  | H:[34 37  3  6 |  88.75%  91.89%  85.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_21  | H:[31 38  2  9 |  86.25%  93.94%  77.50%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_22  | H:[25 39  1 15 |  80.00%  96.15%  62.50%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_23  | H:[29 39  1 11 |  85.00%  96.67%  72.50%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_24  | H:[30 39  1 10 |  86.25%  96.77%  75.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_25  | H:[14 39  1 26 |  66.25%  93.33%  35.00%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_26  | H:[30 39  1 10 |  86.25%  96.77%  75.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_27  | H:[30 38  2 10 |  85.00%  93.75%  75.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_28  | H:[15 39  1 25 |  67.50%  93.75%  37.50%]        | L:[37 39  1  3 |  95.00%  97.37%  92.50%]
net_29  | H:[28 39  1 12 |  83.75%  96.55%  70.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_30  | H:[29 39  1 11 |  85.00%  96.67%  72.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_31  | H:[30 39  1 10 |  86.25%  96.77%  75.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_32  | H:[22 39  1 18 |  76.25%  95.65%  55.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_33  | H:[34 35  5  6 |  86.25%  87.18%  85.00%]        | L:[40 35  5  0 |  93.75%  88.89% 100.00%]
net_34  | H:[20 39  1 20 |  73.75%  95.24%  50.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_35  | H:[31 39  1  9 |  87.50%  96.88%  77.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_36  | H:[27 39  1 13 |  82.50%  96.43%  67.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_37  | H:[24 39  1 16 |  78.75%  96.00%  60.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_38  | H:[26 39  1 14 |  81.25%  96.30%  65.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_39  | H:[29 39  1 11 |  85.00%  96.67%  72.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_40  | H:[25 39  1 15 |  80.00%  96.15%  62.50%]        | L:[39 39  1  1 |  97.50%  97.50%  97.50%]
